"assoc","female","age","educ","inc","east","tv"
4,0,6.30000019073486,5,6.5,0,2
0,0,2.29999995231628,3,2,0,4
0,1,6.69999980926514,2,0.930000007152557,0,2
0,1,3.29999995231628,1,0.600000023841858,0,6
2,1,6.40000009536743,2,1.70000004768372,0,2.5
0,0,7.59999990463257,1,2,0,3
1,1,5.40000009536743,2,1.5,0,5.5
3,0,3.70000004768372,2,2,0,1
0,0,6.59999990463257,4,2.70000004768372,0,5
1,1,3.70000004768372,5,3.5,0,1
2,0,6.09999990463257,2,1.20000004768372,0,1
0,1,7.5,3,2.09999990463257,0,4
0,1,7.5,2,1.875,0,2.5
0,1,4,2,1.06299996376038,0,3
1,1,6.40000009536743,3,0.614000022411346,0,4
1,0,2.09999990463257,3,6.25,0,2
0,1,4.5,3,2,0,2
2,0,6.19999980926514,4,4.5,0,2.5
1,0,5,3,1.20000004768372,0,6.5
0,1,3.20000004768372,3,1.5,0,1.25
1,1,2.20000004768372,3,1.60000002384186,0,2
3,0,7.5,3,2.5,0,2.5
0,1,4.80000019073486,4,1.79999995231628,0,2
0,0,4.09999990463257,3,2.90000009536743,0,3
0,1,3.59999990463257,3,0.805000007152557,0,3
1,0,8.19999980926514,3,2.09999990463257,0,5
2,0,5.80000019073486,2,2.40000009536743,0,4
2,1,3.29999995231628,5,3,0,5
0,1,4.90000009536743,2,2.5,0,3
0,1,2.70000004768372,3,0.344999998807907,0,2.5
1,0,2.29999995231628,3,4.5,0,2
0,1,3.29999995231628,2,1.60000002384186,0,2.5
0,0,5.40000009536743,2,2.29999995231628,0,2
1,1,4.5,3,4.5,0,2
0,1,6.5,2,1.10000002384186,0,4
2,1,4.59999990463257,3,1.48000001907349,0,2
0,1,8.30000019073486,2,1.625,0,2
0,0,2.70000004768372,5,2.04999995231628,0,1.5
0,1,4.19999980926514,4,5,0,1
5,0,1.89999997615814,4,4.5,0,0.333333343267441
1,1,6.90000009536743,2,1.31299996376038,0,2
1,1,2.09999990463257,4,4.7979998588562,0,3
0,0,6.09999990463257,3,4.59999990463257,0,1.5
0,1,2.29999995231628,2,1.5,0,8
0,1,4.19999980926514,3,1.72000002861023,0,2
0,1,3.20000004768372,5,1.10000002384186,0,2
0,0,7,2,2.09999990463257,0,3
0,1,4,2,1.10000002384186,0,4
1,0,7.19999980926514,5,1.79999995231628,0,1
0,1,7,3,2.625,0,6
3,1,5.40000009536743,4,3.29999995231628,0,2
0,1,7.09999990463257,2,0.319999992847443,0,4.5
5,1,4.90000009536743,3,2,0,2
1,1,7.80000019073486,2,1.20000004768372,0,2.33333325386047
1,0,3.09999990463257,5,5.19999980926514,0,1
0,0,4.09999990463257,2,2.20000004768372,0,1
2,0,3.79999995231628,3,1.5,0,3
1,1,4.69999980926514,5,1.39999997615814,0,2
2,1,3.90000009536743,3,2.65000009536743,0,3
1,0,6,4,1.54999995231628,0,4
1,1,4.09999990463257,4,2.79999995231628,0,2
4,0,3.70000004768372,2,3.5,0,0.333333343267441
0,0,3.09999990463257,1,0.819999992847443,0,5
2,0,6.90000009536743,2,2.45000004768372,0,3.5
1,1,1.89999997615814,3,2.09999990463257,0,2
0,1,5,2,0.949999988079071,0,3
1,0,3.09999990463257,3,2.79999995231628,0,3.5
2,1,3.59999990463257,3,3.5,0,2
2,0,5,2,4.09999990463257,0,2
3,1,4.80000019073486,4,5,0,1
2,1,4.40000009536743,3,2.5,0,1
0,1,8.80000019073486,3,0.839999973773956,0,1
2,0,5.30000019073486,2,2.59999990463257,0,2.5
4,0,5.30000019073486,3,4,0,1
0,0,8.19999980926514,5,1.89999997615814,0,1
3,0,6.69999980926514,5,2,0,3
2,0,5.30000019073486,5,2.5,0,2.25
0,0,6,1,1.39999997615814,0,8
2,1,6.19999980926514,5,4,0,2
3,1,4.09999990463257,3,2.79999995231628,0,1.5
1,0,4.5,4,4,0,2
0,0,5.90000009536743,5,2,0,2
1,1,6.59999990463257,2,1.39999997615814,0,3
2,0,3.09999990463257,5,2.5,0,1
0,1,5.69999980926514,3,2.79999995231628,0,3.5
2,1,6.19999980926514,3,3.5,0,0.5
0,1,6.40000009536743,2,1.5,0,4.5
1,0,4.40000009536743,2,1.39999997615814,0,2
1,1,6.30000019073486,2,1.5,0,1.5
4,0,6.30000019073486,4,4.19999980926514,0,1.5
1,0,2.20000004768372,4,0.839999973773956,0,1
1,0,2.09999990463257,5,5,0,1
0,0,6.40000009536743,2,1.85000002384186,0,2
1,1,3.20000004768372,2,1.875,0,6
2,0,7.59999990463257,2,1.45000004768372,0,3
1,0,6.90000009536743,2,1,0,6
0,0,5.40000009536743,2,3,0,2.5
0,0,4.5,2,0.938000023365021,0,2
0,0,7.19999980926514,2,0.986999988555908,0,1.5
1,1,4.69999980926514,3,2.5,0,2
1,1,4.90000009536743,3,6.5,0,3
2,1,3.5,3,2.125,0,2
0,1,5.40000009536743,2,1,0,1
1,0,3,2,1.79999995231628,0,2
2,0,7,5,7,0,1.5
0,1,5.09999990463257,5,3,0,3.5
0,1,2.79999995231628,2,1.39999997615814,0,2.5
2,1,4.19999980926514,2,2.59999990463257,0,3
1,0,2.29999995231628,2,3.5,0,0.5
3,1,3.29999995231628,5,3.5,0,1
0,0,7,2,1.5,0,4
